individual	sex	population	description	super_population
HG01791	m	GBR	British in England and Scotland	EUR
HG02215	f	GBR	British in England and Scotland	EUR
HG01500	m	IBS	Iberian Population in Spain	EUR
HG01501	f	IBS	Iberian Population in Spain	EUR
HG01503	m	IBS	Iberian Population in Spain	EUR
HG01504	f	IBS	Iberian Population in Spain	EUR
HG01506	m	IBS	Iberian Population in Spain	EUR
HG01507	f	IBS	Iberian Population in Spain	EUR
HG01509	m	IBS	Iberian Population in Spain	EUR
HG01510	f	IBS	Iberian Population in Spain	EUR
HG01512	m	IBS	Iberian Population in Spain	EUR
HG01513	f	IBS	Iberian Population in Spain	EUR
HG01515	m	IBS	Iberian Population in Spain	EUR
HG01516	f	IBS	Iberian Population in Spain	EUR
HG01518	m	IBS	Iberian Population in Spain	EUR
HG01519	f	IBS	Iberian Population in Spain	EUR
HG01521	m	IBS	Iberian Population in Spain	EUR
HG01522	f	IBS	Iberian Population in Spain	EUR
HG01524	m	IBS	Iberian Population in Spain	EUR
HG01525	f	IBS	Iberian Population in Spain	EUR
HG01527	m	IBS	Iberian Population in Spain	EUR
HG01528	f	IBS	Iberian Population in Spain	EUR
HG01530	m	IBS	Iberian Population in Spain	EUR
HG01531	f	IBS	Iberian Population in Spain	EUR
HG01536	m	IBS	Iberian Population in Spain	EUR
HG01537	f	IBS	Iberian Population in Spain	EUR
HG01602	f	IBS	Iberian Population in Spain	EUR
HG01603	m	IBS	Iberian Population in Spain	EUR
HG01605	f	IBS	Iberian Population in Spain	EUR
HG01606	m	IBS	Iberian Population in Spain	EUR
HG01607	f	IBS	Iberian Population in Spain	EUR
HG01608	m	IBS	Iberian Population in Spain	EUR
HG01610	m	IBS	Iberian Population in Spain	EUR
HG01612	f	IBS	Iberian Population in Spain	EUR
HG01613	f	IBS	Iberian Population in Spain	EUR
HG01615	m	IBS	Iberian Population in Spain	EUR
HG01617	m	IBS	Iberian Population in Spain	EUR
HG01618	f	IBS	Iberian Population in Spain	EUR
HG01619	m	IBS	Iberian Population in Spain	EUR
HG01620	f	IBS	Iberian Population in Spain	EUR
HG01623	f	IBS	Iberian Population in Spain	EUR
HG01624	m	IBS	Iberian Population in Spain	EUR
HG01625	m	IBS	Iberian Population in Spain	EUR
HG01626	f	IBS	Iberian Population in Spain	EUR
HG01628	f	IBS	Iberian Population in Spain	EUR
HG01630	m	IBS	Iberian Population in Spain	EUR
HG01631	m	IBS	Iberian Population in Spain	EUR
HG01632	f	IBS	Iberian Population in Spain	EUR
HG01668	f	IBS	Iberian Population in Spain	EUR
HG01669	m	IBS	Iberian Population in Spain	EUR
HG01670	f	IBS	Iberian Population in Spain	EUR
HG01672	m	IBS	Iberian Population in Spain	EUR
HG01673	f	IBS	Iberian Population in Spain	EUR
HG01675	m	IBS	Iberian Population in Spain	EUR
HG01676	f	IBS	Iberian Population in Spain	EUR
HG01678	m	IBS	Iberian Population in Spain	EUR
HG01679	f	IBS	Iberian Population in Spain	EUR
HG01680	m	IBS	Iberian Population in Spain	EUR
HG01682	m	IBS	Iberian Population in Spain	EUR
HG01684	f	IBS	Iberian Population in Spain	EUR
HG01685	f	IBS	Iberian Population in Spain	EUR
HG01686	m	IBS	Iberian Population in Spain	EUR
HG01694	m	IBS	Iberian Population in Spain	EUR
HG01695	f	IBS	Iberian Population in Spain	EUR
HG01697	f	IBS	Iberian Population in Spain	EUR
HG01699	m	IBS	Iberian Population in Spain	EUR
HG01700	m	IBS	Iberian Population in Spain	EUR
HG01702	f	IBS	Iberian Population in Spain	EUR
HG01704	f	IBS	Iberian Population in Spain	EUR
HG01705	m	IBS	Iberian Population in Spain	EUR
HG01707	f	IBS	Iberian Population in Spain	EUR
HG01708	m	IBS	Iberian Population in Spain	EUR
HG01709	m	IBS	Iberian Population in Spain	EUR
HG01710	f	IBS	Iberian Population in Spain	EUR
HG01746	f	IBS	Iberian Population in Spain	EUR
HG01747	m	IBS	Iberian Population in Spain	EUR
HG01756	m	IBS	Iberian Population in Spain	EUR
HG01757	f	IBS	Iberian Population in Spain	EUR
HG01761	m	IBS	Iberian Population in Spain	EUR
HG01762	f	IBS	Iberian Population in Spain	EUR
HG01765	m	IBS	Iberian Population in Spain	EUR
HG01766	f	IBS	Iberian Population in Spain	EUR
HG01767	m	IBS	Iberian Population in Spain	EUR
HG01768	f	IBS	Iberian Population in Spain	EUR
HG01770	f	IBS	Iberian Population in Spain	EUR
HG01771	m	IBS	Iberian Population in Spain	EUR
HG01773	f	IBS	Iberian Population in Spain	EUR
HG01775	m	IBS	Iberian Population in Spain	EUR
HG01776	f	IBS	Iberian Population in Spain	EUR
HG01777	m	IBS	Iberian Population in Spain	EUR
HG01779	f	IBS	Iberian Population in Spain	EUR
HG01781	m	IBS	Iberian Population in Spain	EUR
HG01783	m	IBS	Iberian Population in Spain	EUR
HG01784	f	IBS	Iberian Population in Spain	EUR
HG01785	m	IBS	Iberian Population in Spain	EUR
HG01786	f	IBS	Iberian Population in Spain	EUR
HG02219	m	IBS	Iberian Population in Spain	EUR
HG02220	f	IBS	Iberian Population in Spain	EUR
HG02221	m	IBS	Iberian Population in Spain	EUR
HG02223	f	IBS	Iberian Population in Spain	EUR
HG02224	m	IBS	Iberian Population in Spain	EUR
HG02230	f	IBS	Iberian Population in Spain	EUR
HG02231	m	IBS	Iberian Population in Spain	EUR
HG02232	f	IBS	Iberian Population in Spain	EUR
HG02233	m	IBS	Iberian Population in Spain	EUR
HG02235	f	IBS	Iberian Population in Spain	EUR
HG02236	m	IBS	Iberian Population in Spain	EUR
HG02238	m	IBS	Iberian Population in Spain	EUR
HG02239	f	IBS	Iberian Population in Spain	EUR
NA20502	f	TSI	Toscani in Italia	EUR
NA20503	f	TSI	Toscani in Italia	EUR
NA20504	f	TSI	Toscani in Italia	EUR
NA20505	f	TSI	Toscani in Italia	EUR
NA20506	f	TSI	Toscani in Italia	EUR
NA20507	f	TSI	Toscani in Italia	EUR
NA20508	f	TSI	Toscani in Italia	EUR
NA20509	m	TSI	Toscani in Italia	EUR
NA20510	m	TSI	Toscani in Italia	EUR
NA20511	m	TSI	Toscani in Italia	EUR
NA20512	m	TSI	Toscani in Italia	EUR
NA20513	m	TSI	Toscani in Italia	EUR
NA20514	f	TSI	Toscani in Italia	EUR
NA20515	m	TSI	Toscani in Italia	EUR
NA20516	m	TSI	Toscani in Italia	EUR
NA20517	f	TSI	Toscani in Italia	EUR
NA20518	m	TSI	Toscani in Italia	EUR
NA20519	m	TSI	Toscani in Italia	EUR
NA20520	m	TSI	Toscani in Italia	EUR
NA20521	m	TSI	Toscani in Italia	EUR
NA20522	f	TSI	Toscani in Italia	EUR
NA20524	m	TSI	Toscani in Italia	EUR
NA20525	m	TSI	Toscani in Italia	EUR
NA20527	m	TSI	Toscani in Italia	EUR
NA20528	m	TSI	Toscani in Italia	EUR
NA20529	f	TSI	Toscani in Italia	EUR
NA20530	f	TSI	Toscani in Italia	EUR
NA20531	f	TSI	Toscani in Italia	EUR
NA20532	m	TSI	Toscani in Italia	EUR
NA20533	f	TSI	Toscani in Italia	EUR
NA20534	m	TSI	Toscani in Italia	EUR
NA20535	f	TSI	Toscani in Italia	EUR
NA20536	m	TSI	Toscani in Italia	EUR
NA20538	m	TSI	Toscani in Italia	EUR
NA20539	m	TSI	Toscani in Italia	EUR
NA20540	f	TSI	Toscani in Italia	EUR
NA20541	f	TSI	Toscani in Italia	EUR
NA20542	f	TSI	Toscani in Italia	EUR
NA20543	m	TSI	Toscani in Italia	EUR
NA20544	m	TSI	Toscani in Italia	EUR
NA20581	m	TSI	Toscani in Italia	EUR
NA20582	f	TSI	Toscani in Italia	EUR
NA20585	f	TSI	Toscani in Italia	EUR
NA20586	m	TSI	Toscani in Italia	EUR
NA20587	f	TSI	Toscani in Italia	EUR
NA20588	m	TSI	Toscani in Italia	EUR
NA20589	f	TSI	Toscani in Italia	EUR
NA20752	m	TSI	Toscani in Italia	EUR
NA20753	f	TSI	Toscani in Italia	EUR
NA20754	m	TSI	Toscani in Italia	EUR
NA20755	m	TSI	Toscani in Italia	EUR
NA20756	f	TSI	Toscani in Italia	EUR
NA20757	f	TSI	Toscani in Italia	EUR
NA20758	m	TSI	Toscani in Italia	EUR
NA20759	m	TSI	Toscani in Italia	EUR
NA20760	f	TSI	Toscani in Italia	EUR
NA20761	f	TSI	Toscani in Italia	EUR
NA20762	m	TSI	Toscani in Italia	EUR
NA20763	m	TSI	Toscani in Italia	EUR
NA20764	f	TSI	Toscani in Italia	EUR
NA20765	m	TSI	Toscani in Italia	EUR
NA20766	f	TSI	Toscani in Italia	EUR
NA20767	m	TSI	Toscani in Italia	EUR
NA20768	f	TSI	Toscani in Italia	EUR
NA20769	f	TSI	Toscani in Italia	EUR
NA20770	m	TSI	Toscani in Italia	EUR
NA20771	f	TSI	Toscani in Italia	EUR
NA20772	f	TSI	Toscani in Italia	EUR
NA20773	f	TSI	Toscani in Italia	EUR
NA20774	f	TSI	Toscani in Italia	EUR
NA20775	f	TSI	Toscani in Italia	EUR
NA20778	m	TSI	Toscani in Italia	EUR
NA20783	m	TSI	Toscani in Italia	EUR
NA20785	m	TSI	Toscani in Italia	EUR
NA20786	f	TSI	Toscani in Italia	EUR
NA20787	m	TSI	Toscani in Italia	EUR
NA20790	f	TSI	Toscani in Italia	EUR
NA20792	m	TSI	Toscani in Italia	EUR
NA20795	f	TSI	Toscani in Italia	EUR
NA20796	m	TSI	Toscani in Italia	EUR
NA20797	f	TSI	Toscani in Italia	EUR
NA20798	m	TSI	Toscani in Italia	EUR
NA20799	f	TSI	Toscani in Italia	EUR
NA20800	f	TSI	Toscani in Italia	EUR
NA20801	m	TSI	Toscani in Italia	EUR
NA20802	f	TSI	Toscani in Italia	EUR
NA20803	m	TSI	Toscani in Italia	EUR
NA20804	f	TSI	Toscani in Italia	EUR
NA20805	m	TSI	Toscani in Italia	EUR
NA20806	m	TSI	Toscani in Italia	EUR
NA20807	f	TSI	Toscani in Italia	EUR
NA20808	f	TSI	Toscani in Italia	EUR
NA20809	m	TSI	Toscani in Italia	EUR
NA20810	m	TSI	Toscani in Italia	EUR
NA20811	m	TSI	Toscani in Italia	EUR
NA20812	m	TSI	Toscani in Italia	EUR
NA20813	f	TSI	Toscani in Italia	EUR
NA20814	m	TSI	Toscani in Italia	EUR
NA20815	m	TSI	Toscani in Italia	EUR
NA20818	f	TSI	Toscani in Italia	EUR
NA20819	f	TSI	Toscani in Italia	EUR
NA20821	f	TSI	Toscani in Italia	EUR
NA20822	f	TSI	Toscani in Italia	EUR
NA20826	f	TSI	Toscani in Italia	EUR
NA20827	m	TSI	Toscani in Italia	EUR
NA20828	f	TSI	Toscani in Italia	EUR
NA20832	f	TSI	Toscani in Italia	EUR
HG03006	m	BEB	Bengali from Bangladesh	SAS
HG03007	f	BEB	Bengali from Bangladesh	SAS
HG03009	m	BEB	Bengali from Bangladesh	SAS
HG03012	m	BEB	Bengali from Bangladesh	SAS
HG03585	m	BEB	Bengali from Bangladesh	SAS
HG03589	f	BEB	Bengali from Bangladesh	SAS
HG03593	m	BEB	Bengali from Bangladesh	SAS
HG03594	m	BEB	Bengali from Bangladesh	SAS
HG03595	f	BEB	Bengali from Bangladesh	SAS
HG03598	f	BEB	Bengali from Bangladesh	SAS
HG03600	m	BEB	Bengali from Bangladesh	SAS
HG03603	m	BEB	Bengali from Bangladesh	SAS
HG03604	f	BEB	Bengali from Bangladesh	SAS
HG03607	f	BEB	Bengali from Bangladesh	SAS
HG03611	f	BEB	Bengali from Bangladesh	SAS
HG03615	m	BEB	Bengali from Bangladesh	SAS
HG03616	f	BEB	Bengali from Bangladesh	SAS
HG03793	f	BEB	Bengali from Bangladesh	SAS
HG03796	f	BEB	Bengali from Bangladesh	SAS
HG03800	m	BEB	Bengali from Bangladesh	SAS
HG03802	f	BEB	Bengali from Bangladesh	SAS
HG03803	m	BEB	Bengali from Bangladesh	SAS
HG03805	f	BEB	Bengali from Bangladesh	SAS
HG03808	f	BEB	Bengali from Bangladesh	SAS
HG03809	m	BEB	Bengali from Bangladesh	SAS
HG03812	m	BEB	Bengali from Bangladesh	SAS
HG03814	f	BEB	Bengali from Bangladesh	SAS
HG03815	m	BEB	Bengali from Bangladesh	SAS
HG03817	f	BEB	Bengali from Bangladesh	SAS
HG03821	m	BEB	Bengali from Bangladesh	SAS
HG03823	f	BEB	Bengali from Bangladesh	SAS
HG03824	m	BEB	Bengali from Bangladesh	SAS
HG03826	f	BEB	Bengali from Bangladesh	SAS
HG03829	f	BEB	Bengali from Bangladesh	SAS
HG03830	m	BEB	Bengali from Bangladesh	SAS
HG03832	f	BEB	Bengali from Bangladesh	SAS
HG03833	m	BEB	Bengali from Bangladesh	SAS
HG03902	m	BEB	Bengali from Bangladesh	SAS
HG03905	m	BEB	Bengali from Bangladesh	SAS
HG03907	f	BEB	Bengali from Bangladesh	SAS
HG03908	m	BEB	Bengali from Bangladesh	SAS
HG03910	f	BEB	Bengali from Bangladesh	SAS
HG03911	m	BEB	Bengali from Bangladesh	SAS
HG03913	f	BEB	Bengali from Bangladesh	SAS
HG03914	m	BEB	Bengali from Bangladesh	SAS
HG03916	f	BEB	Bengali from Bangladesh	SAS
HG03917	m	BEB	Bengali from Bangladesh	SAS
HG03919	f	BEB	Bengali from Bangladesh	SAS
HG03920	m	BEB	Bengali from Bangladesh	SAS
HG03922	f	BEB	Bengali from Bangladesh	SAS
HG03925	f	BEB	Bengali from Bangladesh	SAS
HG03926	m	BEB	Bengali from Bangladesh	SAS
HG03928	f	BEB	Bengali from Bangladesh	SAS
HG03931	f	BEB	Bengali from Bangladesh	SAS
HG03934	f	BEB	Bengali from Bangladesh	SAS
HG03937	f	BEB	Bengali from Bangladesh	SAS
HG03940	f	BEB	Bengali from Bangladesh	SAS
HG03941	m	BEB	Bengali from Bangladesh	SAS
HG04131	m	BEB	Bengali from Bangladesh	SAS
HG04134	m	BEB	Bengali from Bangladesh	SAS
HG04140	m	BEB	Bengali from Bangladesh	SAS
HG04141	f	BEB	Bengali from Bangladesh	SAS
HG04144	f	BEB	Bengali from Bangladesh	SAS
HG04146	m	BEB	Bengali from Bangladesh	SAS
HG04152	m	BEB	Bengali from Bangladesh	SAS
HG04153	f	BEB	Bengali from Bangladesh	SAS
HG04155	m	BEB	Bengali from Bangladesh	SAS
HG04156	f	BEB	Bengali from Bangladesh	SAS
HG04158	m	BEB	Bengali from Bangladesh	SAS
HG04159	f	BEB	Bengali from Bangladesh	SAS
HG04161	m	BEB	Bengali from Bangladesh	SAS
HG04162	f	BEB	Bengali from Bangladesh	SAS
HG04164	m	BEB	Bengali from Bangladesh	SAS
HG04171	f	BEB	Bengali from Bangladesh	SAS
HG04173	m	BEB	Bengali from Bangladesh	SAS
HG04176	m	BEB	Bengali from Bangladesh	SAS
HG04177	f	BEB	Bengali from Bangladesh	SAS
HG04180	f	BEB	Bengali from Bangladesh	SAS
HG04182	m	BEB	Bengali from Bangladesh	SAS
HG04183	f	BEB	Bengali from Bangladesh	SAS
HG04185	m	BEB	Bengali from Bangladesh	SAS
HG04186	f	BEB	Bengali from Bangladesh	SAS
HG04188	m	BEB	Bengali from Bangladesh	SAS
HG04189	f	BEB	Bengali from Bangladesh	SAS
HG04194	m	BEB	Bengali from Bangladesh	SAS
HG04195	f	BEB	Bengali from Bangladesh	SAS
NA20845	m	GIH	Gujarati Indian from Houston - Texas	SAS
NA20846	m	GIH	Gujarati Indian from Houston - Texas	SAS
NA20847	f	GIH	Gujarati Indian from Houston - Texas	SAS
NA20849	f	GIH	Gujarati Indian from Houston - Texas	SAS
NA20850	m	GIH	Gujarati Indian from Houston - Texas	SAS
NA20851	f	GIH	Gujarati Indian from Houston - Texas	SAS
NA20852	m	GIH	Gujarati Indian from Houston - Texas	SAS
NA20853	f	GIH	Gujarati Indian from Houston - Texas	SAS
NA20854	f	GIH	Gujarati Indian from Houston - Texas	SAS
NA20856	f	GIH	Gujarati Indian from Houston - Texas	SAS
NA20858	m	GIH	Gujarati Indian from Houston - Texas	SAS
NA20859	f	GIH	Gujarati Indian from Houston - Texas	SAS
NA20861	m	GIH	Gujarati Indian from Houston - Texas	SAS
NA20862	f	GIH	Gujarati Indian from Houston - Texas	SAS
NA20863	m	GIH	Gujarati Indian from Houston - Texas	SAS
NA20864	m	GIH	Gujarati Indian from Houston - Texas	SAS
NA20866	m	GIH	Gujarati Indian from Houston - Texas	SAS
NA20867	m	GIH	Gujarati Indian from Houston - Texas	SAS
NA20868	f	GIH	Gujarati Indian from Houston - Texas	SAS
NA20869	f	GIH	Gujarati Indian from Houston - Texas	SAS
NA20870	m	GIH	Gujarati Indian from Houston - Texas	SAS
NA20872	f	GIH	Gujarati Indian from Houston - Texas	SAS
NA20874	f	GIH	Gujarati Indian from Houston - Texas	SAS
NA20875	f	GIH	Gujarati Indian from Houston - Texas	SAS
NA20876	f	GIH	Gujarati Indian from Houston - Texas	SAS
NA20877	f	GIH	Gujarati Indian from Houston - Texas	SAS
NA20878	f	GIH	Gujarati Indian from Houston - Texas	SAS
NA20881	f	GIH	Gujarati Indian from Houston - Texas	SAS
NA20882	f	GIH	Gujarati Indian from Houston - Texas	SAS
NA20884	m	GIH	Gujarati Indian from Houston - Texas	SAS
NA20885	m	GIH	Gujarati Indian from Houston - Texas	SAS
NA20886	f	GIH	Gujarati Indian from Houston - Texas	SAS
NA20887	m	GIH	Gujarati Indian from Houston - Texas	SAS
NA20888	f	GIH	Gujarati Indian from Houston - Texas	SAS
NA20889	m	GIH	Gujarati Indian from Houston - Texas	SAS
NA20890	m	GIH	Gujarati Indian from Houston - Texas	SAS
NA20891	m	GIH	Gujarati Indian from Houston - Texas	SAS
NA20892	f	GIH	Gujarati Indian from Houston - Texas	SAS
NA20894	f	GIH	Gujarati Indian from Houston - Texas	SAS
NA20895	m	GIH	Gujarati Indian from Houston - Texas	SAS
NA20896	f	GIH	Gujarati Indian from Houston - Texas	SAS
NA20897	m	GIH	Gujarati Indian from Houston - Texas	SAS
NA20899	f	GIH	Gujarati Indian from Houston - Texas	SAS
NA20900	f	GIH	Gujarati Indian from Houston - Texas	SAS
NA20901	m	GIH	Gujarati Indian from Houston - Texas	SAS
NA20902	f	GIH	Gujarati Indian from Houston - Texas	SAS
NA20903	m	GIH	Gujarati Indian from Houston - Texas	SAS
NA20904	m	GIH	Gujarati Indian from Houston - Texas	SAS
NA20905	m	GIH	Gujarati Indian from Houston - Texas	SAS
NA20906	f	GIH	Gujarati Indian from Houston - Texas	SAS
NA20908	f	GIH	Gujarati Indian from Houston - Texas	SAS
NA20910	f	GIH	Gujarati Indian from Houston - Texas	SAS
NA20911	m	GIH	Gujarati Indian from Houston - Texas	SAS
NA21086	f	GIH	Gujarati Indian from Houston - Texas	SAS
NA21087	m	GIH	Gujarati Indian from Houston - Texas	SAS
NA21088	f	GIH	Gujarati Indian from Houston - Texas	SAS
NA21089	f	GIH	Gujarati Indian from Houston - Texas	SAS
NA21090	m	GIH	Gujarati Indian from Houston - Texas	SAS
NA21091	m	GIH	Gujarati Indian from Houston - Texas	SAS
NA21092	m	GIH	Gujarati Indian from Houston - Texas	SAS
NA21093	m	GIH	Gujarati Indian from Houston - Texas	SAS
NA21094	m	GIH	Gujarati Indian from Houston - Texas	SAS
NA21095	m	GIH	Gujarati Indian from Houston - Texas	SAS
NA21097	f	GIH	Gujarati Indian from Houston - Texas	SAS
NA21098	m	GIH	Gujarati Indian from Houston - Texas	SAS
NA21099	m	GIH	Gujarati Indian from Houston - Texas	SAS
NA21100	m	GIH	Gujarati Indian from Houston - Texas	SAS
NA21101	f	GIH	Gujarati Indian from Houston - Texas	SAS
NA21102	f	GIH	Gujarati Indian from Houston - Texas	SAS
NA21103	f	GIH	Gujarati Indian from Houston - Texas	SAS
NA21104	m	GIH	Gujarati Indian from Houston - Texas	SAS
NA21105	m	GIH	Gujarati Indian from Houston - Texas	SAS
NA21106	f	GIH	Gujarati Indian from Houston - Texas	SAS
NA21107	m	GIH	Gujarati Indian from Houston - Texas	SAS
NA21108	f	GIH	Gujarati Indian from Houston - Texas	SAS
NA21109	m	GIH	Gujarati Indian from Houston - Texas	SAS
NA21110	f	GIH	Gujarati Indian from Houston - Texas	SAS
NA21111	m	GIH	Gujarati Indian from Houston - Texas	SAS
NA21112	m	GIH	Gujarati Indian from Houston - Texas	SAS
NA21113	m	GIH	Gujarati Indian from Houston - Texas	SAS
NA21114	m	GIH	Gujarati Indian from Houston - Texas	SAS
NA21115	m	GIH	Gujarati Indian from Houston - Texas	SAS
NA21116	m	GIH	Gujarati Indian from Houston - Texas	SAS
NA21117	m	GIH	Gujarati Indian from Houston - Texas	SAS
NA21118	m	GIH	Gujarati Indian from Houston - Texas	SAS
NA21119	m	GIH	Gujarati Indian from Houston - Texas	SAS
NA21120	f	GIH	Gujarati Indian from Houston - Texas	SAS
NA21122	f	GIH	Gujarati Indian from Houston - Texas	SAS
NA21123	m	GIH	Gujarati Indian from Houston - Texas	SAS
NA21124	m	GIH	Gujarati Indian from Houston - Texas	SAS
NA21125	f	GIH	Gujarati Indian from Houston - Texas	SAS
NA21126	m	GIH	Gujarati Indian from Houston - Texas	SAS
NA21127	m	GIH	Gujarati Indian from Houston - Texas	SAS
NA21128	m	GIH	Gujarati Indian from Houston - Texas	SAS
NA21129	m	GIH	Gujarati Indian from Houston - Texas	SAS
NA21130	m	GIH	Gujarati Indian from Houston - Texas	SAS
NA21133	m	GIH	Gujarati Indian from Houston - Texas	SAS
NA21135	m	GIH	Gujarati Indian from Houston - Texas	SAS
NA21137	f	GIH	Gujarati Indian from Houston - Texas	SAS
NA21141	f	GIH	Gujarati Indian from Houston - Texas	SAS
NA21142	f	GIH	Gujarati Indian from Houston - Texas	SAS
NA21143	f	GIH	Gujarati Indian from Houston - Texas	SAS
NA21144	f	GIH	Gujarati Indian from Houston - Texas	SAS
HG03713	m	ITU	Indian Telugu from the UK	SAS
HG03714	f	ITU	Indian Telugu from the UK	SAS
HG03716	m	ITU	Indian Telugu from the UK	SAS
HG03717	f	ITU	Indian Telugu from the UK	SAS
HG03718	m	ITU	Indian Telugu from the UK	SAS
HG03720	m	ITU	Indian Telugu from the UK	SAS
HG03722	f	ITU	Indian Telugu from the UK	SAS
HG03727	m	ITU	Indian Telugu from the UK	SAS
HG03729	m	ITU	Indian Telugu from the UK	SAS
HG03730	f	ITU	Indian Telugu from the UK	SAS
HG03731	f	ITU	Indian Telugu from the UK	SAS
HG03742	m	ITU	Indian Telugu from the UK	SAS
HG03770	f	ITU	Indian Telugu from the UK	SAS
HG03771	m	ITU	Indian Telugu from the UK	SAS
HG03772	f	ITU	Indian Telugu from the UK	SAS
HG03773	m	ITU	Indian Telugu from the UK	SAS
HG03774	f	ITU	Indian Telugu from the UK	SAS
HG03775	m	ITU	Indian Telugu from the UK	SAS
HG03777	m	ITU	Indian Telugu from the UK	SAS
HG03778	m	ITU	Indian Telugu from the UK	SAS
HG03779	m	ITU	Indian Telugu from the UK	SAS
HG03780	f	ITU	Indian Telugu from the UK	SAS
HG03781	f	ITU	Indian Telugu from the UK	SAS
HG03782	f	ITU	Indian Telugu from the UK	SAS
HG03784	f	ITU	Indian Telugu from the UK	SAS
HG03785	m	ITU	Indian Telugu from the UK	SAS
HG03786	m	ITU	Indian Telugu from the UK	SAS
HG03787	f	ITU	Indian Telugu from the UK	SAS
HG03788	m	ITU	Indian Telugu from the UK	SAS
HG03789	f	ITU	Indian Telugu from the UK	SAS
HG03790	m	ITU	Indian Telugu from the UK	SAS
HG03792	m	ITU	Indian Telugu from the UK	SAS
HG03861	f	ITU	Indian Telugu from the UK	SAS
HG03862	f	ITU	Indian Telugu from the UK	SAS
HG03863	f	ITU	Indian Telugu from the UK	SAS
HG03864	m	ITU	Indian Telugu from the UK	SAS
HG03866	m	ITU	Indian Telugu from the UK	SAS
HG03867	m	ITU	Indian Telugu from the UK	SAS
HG03868	f	ITU	Indian Telugu from the UK	SAS
HG03869	m	ITU	Indian Telugu from the UK	SAS
HG03870	m	ITU	Indian Telugu from the UK	SAS
HG03871	m	ITU	Indian Telugu from the UK	SAS
HG03872	m	ITU	Indian Telugu from the UK	SAS
HG03873	f	ITU	Indian Telugu from the UK	SAS
HG03874	f	ITU	Indian Telugu from the UK	SAS
HG03875	m	ITU	Indian Telugu from the UK	SAS
HG03882	f	ITU	Indian Telugu from the UK	SAS
HG03960	m	ITU	Indian Telugu from the UK	SAS
HG03963	m	ITU	Indian Telugu from the UK	SAS
HG03965	m	ITU	Indian Telugu from the UK	SAS
HG03967	m	ITU	Indian Telugu from the UK	SAS
HG03968	f	ITU	Indian Telugu from the UK	SAS
HG03969	m	ITU	Indian Telugu from the UK	SAS
HG03971	m	ITU	Indian Telugu from the UK	SAS
HG03973	f	ITU	Indian Telugu from the UK	SAS
HG03974	m	ITU	Indian Telugu from the UK	SAS
HG03976	m	ITU	Indian Telugu from the UK	SAS
HG03977	f	ITU	Indian Telugu from the UK	SAS
HG03978	m	ITU	Indian Telugu from the UK	SAS
HG04001	f	ITU	Indian Telugu from the UK	SAS
HG04002	m	ITU	Indian Telugu from the UK	SAS
HG04014	f	ITU	Indian Telugu from the UK	SAS
HG04015	m	ITU	Indian Telugu from the UK	SAS
HG04017	m	ITU	Indian Telugu from the UK	SAS
HG04018	f	ITU	Indian Telugu from the UK	SAS
HG04019	m	ITU	Indian Telugu from the UK	SAS
HG04020	m	ITU	Indian Telugu from the UK	SAS
HG04022	m	ITU	Indian Telugu from the UK	SAS
HG04023	m	ITU	Indian Telugu from the UK	SAS
HG04025	f	ITU	Indian Telugu from the UK	SAS
HG04026	f	ITU	Indian Telugu from the UK	SAS
HG04054	f	ITU	Indian Telugu from the UK	SAS
HG04056	m	ITU	Indian Telugu from the UK	SAS
HG04059	f	ITU	Indian Telugu from the UK	SAS
HG04060	m	ITU	Indian Telugu from the UK	SAS
HG04061	m	ITU	Indian Telugu from the UK	SAS
HG04062	f	ITU	Indian Telugu from the UK	SAS
HG04063	f	ITU	Indian Telugu from the UK	SAS
HG04070	f	ITU	Indian Telugu from the UK	SAS
HG04076	f	ITU	Indian Telugu from the UK	SAS
HG04080	m	ITU	Indian Telugu from the UK	SAS
HG04090	f	ITU	Indian Telugu from the UK	SAS
HG04093	m	ITU	Indian Telugu from the UK	SAS
HG04094	m	ITU	Indian Telugu from the UK	SAS
HG04096	m	ITU	Indian Telugu from the UK	SAS
HG04098	m	ITU	Indian Telugu from the UK	SAS
HG04118	f	ITU	Indian Telugu from the UK	SAS
HG04198	m	ITU	Indian Telugu from the UK	SAS
HG04200	f	ITU	Indian Telugu from the UK	SAS
HG04202	f	ITU	Indian Telugu from the UK	SAS
HG04206	m	ITU	Indian Telugu from the UK	SAS
HG04209	f	ITU	Indian Telugu from the UK	SAS
HG04211	m	ITU	Indian Telugu from the UK	SAS
HG04212	f	ITU	Indian Telugu from the UK	SAS
HG04214	f	ITU	Indian Telugu from the UK	SAS
HG04216	f	ITU	Indian Telugu from the UK	SAS
HG04219	m	ITU	Indian Telugu from the UK	SAS
HG04222	m	ITU	Indian Telugu from the UK	SAS
HG04225	m	ITU	Indian Telugu from the UK	SAS
HG04235	m	ITU	Indian Telugu from the UK	SAS
HG04238	m	ITU	Indian Telugu from the UK	SAS
HG04239	m	ITU	Indian Telugu from the UK	SAS
HG01583	m	PJL	Punjabi from Lahore - Pakistan	SAS
HG01586	m	PJL	Punjabi from Lahore - Pakistan	SAS
HG01589	m	PJL	Punjabi from Lahore - Pakistan	SAS
HG01593	f	PJL	Punjabi from Lahore - Pakistan	SAS
HG02490	m	PJL	Punjabi from Lahore - Pakistan	SAS
HG02491	f	PJL	Punjabi from Lahore - Pakistan	SAS
